Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Нұржан Жаримбетов,сегодня,Маржан офицант тез қызмет көрсетті🔥,5,Aspan,4.6,2297
Жалгас Абденов,сегодня,"Атмосфера күшті,барлығы жағымды официант Маржан ризамыз барлығы көңілден шықты👌👍🏽",5,Aspan,4.6,2297
Мейржан Мейрамбек,сегодня,"Тағамдары өте керемет,Барлығымызға ұнады!!!",5,Aspan,4.6,2297
Адель Амит,сегодня,"туылған күн тойладық обслуживание оте керемет
Официант Маржанға рахмет🤍🤍🤍",5,Aspan,4.6,2297
Алия Сарбасова,сегодня,"Отравились в этом заведении, если завтра не станет легче, будем вызвать СЭС. Не рекомендую",1,Aspan,4.6,2297
Диас Мекенов,22 апреля 2025,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,5,Aspan,4.6,2297
Manas Jiemurtov,21 апреля 2025,Плоб оте дамди келып жесеныз окынбейсызгой мина плоб дами енды айта алмайсынгой,5,Aspan,4.6,2297
Asylai Alibek,21 апреля 2025,🔥🔥🔥,5,Aspan,4.6,2297
Алмаз Амангелді,21 апреля 2025,Туган Кун откздк Оте жаксы отти 👍🏻,5,Aspan,4.6,2297
xanskiy xanskiyyy,"20 апреля 2025, отредактирован",Тема тема😍😍😍,5,Aspan,4.6,2297
Алтыша Б,20 апреля 2025,"Только что вышли из данного заведения. Ну что сказать, ожидание- реальность. Во первых само заведение максимально не соответствует названию. Думали будет ресторан восточной кухни. По факту это бывшее караоке или ночной клуб. На первом этаже накурено, дым коромыслом от кальяна. Запах уборной по всему комплексу стоит. Нас посадили на втором этаже. Мы были одни на целом этаже. Еда приходила вся холодная и оочень жирно готовят. По вкусу блюда более менее. Но подача ужасная. На третьем этаже где есть детская площадка- ваоялись пьяные люди в прямом смысле на полу. Пьяный мужик лежал в сухом бассейне с шариками. Никто ему замечание не делал. В общем кое как доели и убежали. Вернусь ли еще сюда? Очевидно, что НЕТ 👎",3,Aspan,4.6,2297
Dina Iles,20 апреля 2025,"Еда не свежая, шашлыки жесткие, посуды старые и грязные. Официанты не умеют обслуживать, администратора вообще не видела, игровая на 6-8 детей, если больше не поместятся, пол вообще не моют что ли грязные и липкие. Официанту говоришь что мясо твердое итд просто до слушала и все отвернулась и пошла сидеть дальше в телефоне. Отработать возражение от клиента не умеют делать, когда уходили тоже от других гостей тоже слышали что не свежие продукты и шашлыки
Были 19 апреля",1,Aspan,4.6,2297
Shakirullah Shakir,19 апреля 2025,Позвонили им за ранее сказали есть места когда приехали с детьми еле еле поднялись на 3 этаж не было места и очень нагрубили,1,Aspan,4.6,2297
Жулдыз Амирова,19 апреля 2025,"Люди не приходите😡!!! Шашлык подошва!! Фри ужасное, бургер с магазина будто! Крайне огорчена, 20 000 оставили, вообще не стоит этого!",1,Aspan,4.6,2297
Ардак Беккожаева,"19 апреля 2025, отредактирован","Были в этом заведении, понравилась только детская зона. Лагман вообщее 1из10. Шашлык тоже так себе, салат норм.",1,Aspan,4.6,2297
BAO OAB,18 апреля 2025,"Бургер 2/10 - высохшая булочка, котлета невкусная
Лагман 8/10 - вид не очень, на вкус нормальный
Плов 8/10 - рис был сыроват, порция хорошая, мяса много
Кола 10/10 😄",3,Aspan,4.6,2297
Togzhan 😜,16 апреля 2025,Просто топ зведения😍😉,5,Aspan,4.6,2297
Amir Beketai,16 апреля 2025,Плов четки,5,Aspan,4.6,2297
Самрат Me🖤ྀི,16 апреля 2025,Тамактары унады,5,Aspan,4.6,2297
Temirlan B,16 апреля 2025,Хорошое место,5,Aspan,4.6,2297
daryn zzot,16 апреля 2025,спасибо всем сотрудникам!!!,5,Aspan,4.6,2297
Бекасыл Абдрахманұлы,16 апреля 2025,Обслуживания 👍🏻👍🏻,5,Aspan,4.6,2297
Zhaniya Kydyr,16 апреля 2025,"Приветливый персонал, готовят быстро, лагманы очень вкусные! Спасибо большое!",5,Aspan,4.6,2297
aidar__ov .,16 апреля 2025,"Обслуживание очень хороший, и блюда очень вкусно. Спасибо всем сотрудникам",5,Aspan,4.6,2297
Imran Mb,16 апреля 2025,Тамактпры кушти унады рахмет❤️🫂,5,Aspan,4.6,2297
Aneliya Садриева,16 апреля 2025,"Мы рядом в бизнес центре работаем, всегда здесь пообедаем. Очень вкусно. Сервис очень хорошо👍🏻 10/10",5,Aspan,4.6,2297
Дан,"16 апреля 2025, отредактирован",Еда норм,5,Aspan,4.6,2297
Сунгат Сегизбаев,16 апреля 2025,👍👍,5,Aspan,4.6,2297
Бақытжан Сейтмуратұлы,16 апреля 2025,👍🏻👍🏻👍🏻👍🏻👍🏻🙂‍↔️,5,Aspan,4.6,2297
Akbaian Abdigaparova,16 апреля 2025,"Плов оте дамди, рахмееет коп! Обслуживание топ👍🏻👍🏻👍🏻👍🏻👍🏻",5,Aspan,4.6,2297
Zhasulan 😜,16 апреля 2025,Очень хорошое заведение! Всем советую. Блюды очень вкусно. 10/10 👍🏻👍🏻👍🏻👍🏻👍🏻,5,Aspan,4.6,2297
Ернар Ахтазин,15 апреля 2025,"Сегодня обедали тут, заказали лагман, вообще не о чём, ещё и долго ждали, не советую никому
Карту так же не принимает",1,Aspan,4.6,2297
Тайный Гость Мммм,"14 апреля 2025, отредактирован","Еда не свежая и не очень на вкус
По крайне мере доставку Яндекс привезли
Еще не весь заказ",1,Aspan,4.6,2297
Erasyl Qaipnazar,14 апреля 2025,Өте керемет,5,Aspan,4.6,2297
Assel Mussulmanbekova,14 апреля 2025,Было жарко очень 3 этаж не хватает штор или жалюзи чтобы солнце не пекло,4,Aspan,4.6,2297
Ainura Issina,14 апреля 2025,"Блюда с 12.00 -15.00 по 990 тенге . Любое блюдо 990 тенге. Салат или второе блюдо или суп . Цена хорошая, а вот кухня нет. Перегоревшие сухие котлеты мне принесли . Отвратительно просто. Официантов найти надо ещё прежде чем заказать . Я бегала за ними сама . Не предложили напитки, не принесли нож на котлеты. Теперь понятно почему такая цена .",2,Aspan,4.6,2297
Ruslan Kebirov,"13 апреля 2025, отредактирован",Не вкусно,2,Aspan,4.6,2297
begual bi,"12 апреля 2025, отредактирован",Работают только двух.,1,Aspan,4.6,2297
Добрая ФЕЯ,11 апреля 2025,"Отзывы 💯% накручены, кухня ужасная, обслуживание💩💩💩💩",1,Aspan,4.6,2297
Penelope Aiq,10 апреля 2025,"Кумисай очень хорошо обслуживает, молодец 👏🏽",5,Aspan,4.6,2297
Аида Шалгынбаева,"10 апреля 2025, отредактирован",Шикарное место,5,Aspan,4.6,2297
Exo Squad,9 апреля 2025,"Походу отзывы накручены, потому что заведение по очень многим пунктам не дотягивает до среднего. Были тут 8 апреля ночью, туалеты грязные и вонь жуткая стоит... менюшки в ужасном обшарпанном состоянии, расслаиваются. Заказал Суйру лагман с собой, принесли и вопросы задают, не знают кому что отдавать. Ну т.е. вы понимаете уровень. Что касается лагмана, он совсем не вкусный 4 из 10 по вкусу. В общем больше сюда ни ногой и заказывать нечего не буду. И другим не советую.",1,Aspan,4.6,2297
Kazak Almatu,9 апреля 2025,Плов с сюрпризом 🤢🤢🤢🤮🤮🤮🤮,1,Aspan,4.6,2297
Жанель Турлыханова,сегодня,"Гиннесс драфт супер, тағы келемін!",5,Guinnes Pub,4.8,908
Андрей Амангелды,22 апреля 2025,"Керемет атмосфера, бәрі керемет! 😍",5,Guinnes Pub,4.8,908
Ұлан Перов,22 апреля 2025,"Пабта өткізген уақыт тез болды. Дәмді тағамдар мен дәмді сусындар, ал живая музыка вообще тамаша. Керемет, тағы да келемін!",5,Guinnes Pub,4.8,908
Мұхамеджан Кучербаев,22 апреля 2025,Керемет мейрамхана. Ирландиялық кофе мен коктейльдер вообще кушты 😃,5,Guinnes Pub,4.8,908
Мұрат Абдулаев,21 апреля 2025,"Атмосферасы керемет. Ирландиялық стильдегі интерьері , жандандыратын живая музыка, Guinness Draught, тағы барамын!",5,Guinnes Pub,4.8,908
Камиля Раимбекова,21 апреля 2025,Замечательное место для вечеринки,5,Guinnes Pub,4.8,908
Махаббат Болысбекова,21 апреля 2025,"Каждый вечер тут весело, рекомендуем!",5,Guinnes Pub,4.8,908
Шолпан Ахметова,21 апреля 2025,Ирландский кофе на уровне,5,Guinnes Pub,4.8,908
Бауыржан Жанабилов,20 апреля 2025,"Бургерлары өте дәмді, барлығы ұнады, жылы қарсалғандарыңызға рақмет көп-көп",5,Guinnes Pub,4.8,908
Жазира Усманова,20 апреля 2025,"Как по мне, это лучшее место в городе для проведения вечера! Вкусное пиво, отличное меню и живая музыка. Это все, что нужно для хорошего отдыха с компанией. Приведу друзей на следующий раз!",5,Guinnes Pub,4.8,908
Шолпан Кусманова,20 апреля 2025,"Обожаю это место! Каждый раз тут чувствую себя как дома. Заказала бургеры, и они были невероятными. А живая музыка даже в будни - это просто чудесно! Обязательно вернусь с друзьями. 😉",5,Guinnes Pub,4.8,908
Дарья Алиева,20 апреля 2025,"Побывала в этом пабе и совсем не пожалела! Отличное меню и хорошее обслуживание. Люблю атмосферу вечеринок, особенно когда играет живая музыка. Пробовала разные коктейли, все очень вкусно. Рекомендую всем, кто ищет приятное времяпровождение!",5,Guinnes Pub,4.8,908
Алтай Жандабылов,19 апреля 2025,"Какое приятное место! Не думал, что в нашем городе найдется такой паб. Заказал ирландский кофе, это просто бомба! Спасибо за вечер, все было на высоте. В следующий раз приглашу своих друзей.",5,Guinnes Pub,4.8,908
Айжан Мухаметова,19 апреля 2025,"Это место - просто находка! Успела попробовать коктейли и закуски. Все было вкусно, а живая музыка настраивает на позитив! Очень уютно и весело, обязательно приеду с друзьями снова! 🍻",5,Guinnes Pub,4.8,908
Житель Города,19 апреля 2025,"Ужасное место, не ходите сюда!!! Официанты могут часами не подходить, пиво с кеги было горьким и будто испорченным, музыка живая так себе. Все хорошие отзывы накрученные, просто смешно, вы бы хоть по одному в день писали, а то по несколько за одну секунду публикуете все под копирку! Удивительно, как еще не закрыли филиал, и рядом не стоит с международным уровнем, позор.",1,Guinnes Pub,4.8,908
Дима Богданов,19 апреля 2025,"Каждый раз притягивает этот паб. Заказал Guinness и не удержался от крафтового пива, было просто отлично. Обслуживание быстрое, атмосфера – как будто попал на праздник. Главное, что есть живая музыка, она прибавляет ярких эмоций.",5,Guinnes Pub,4.8,908
Айгерим Шамиева,19 апреля 2025,"Настоящий ирландский паб! Вкусное пиво и отличное меню. Заказала несколько закусок и была в восторге. Атмосфера очень уютная, а музыка живая! Ребята, советую заглянуть, не пожалеете! 😊",5,Guinnes Pub,4.8,908
Нурбол Аспандияр,18 апреля 2025,"Приятно удивлён, всегда искал хорошее место для отдыха. Забежал в паб случайно и не пожалел! Крафтовое пиво - это просто находка. Всё супер! Обязательно познакомлюсь с репертуаром местных музыкантов в следующий раз.",5,Guinnes Pub,4.8,908
Қайрат Бекенов,18 апреля 2025,"Недавно был в этом пабе, остался в полном восторге! Атмосфера сказочная, напитки на высоте, особенно крафтовое пиво. Заказал стейк, который оказался отменным. Живая музыка добавляет веселья и помогает расслабиться после трудного дня. Обязательно вернусь и не раз! Спасибо за отличный вечер! ✨",5,Guinnes Pub,4.8,908
Дәурен Әлімбаев,18 апреля 2025,Жолдастарыммен тамаша кеш өткіздік,5,Guinnes Pub,4.8,908
Бека Ермеков,18 апреля 2025,"Сервиз тамаша, бәр кызметкерлер күлімсіреп журеды, официанттар оте отзывчивый адамдар екен",5,Guinnes Pub,4.8,908
Жасулан Толегенов,17 апреля 2025,Только позитив с каждым визитом,5,Guinnes Pub,4.8,908
Ілияс Кайратов,17 апреля 2025,Чудесный вечер на улице,5,Guinnes Pub,4.8,908
Тогжан Алайдарова,17 апреля 2025,Всё вкусно и красиво подают,5,Guinnes Pub,4.8,908
Helen Johnson,17 апреля 2025,"Замечательное место, приду вновь",5,Guinnes Pub,4.8,908
Раушан Жанахметова,16 апреля 2025,"Понравился стейк, отлично приготовлен",5,Guinnes Pub,4.8,908
Азат Сатыбалдин,16 апреля 2025,"Если вы ищете место где можно поесть и выпить вкусного пива, это именно то, что вам нужно. Обслуживание на высоте!",5,Guinnes Pub,4.8,908
Дана Смагулова,16 апреля 2025,"Здесь очень уютно, и это идеальное место для встреч с друзьями. Нравится, что есть живое выступление!",5,Guinnes Pub,4.8,908
Ксения Сидорова,16 апреля 2025,Живая музыка добавляет особое очарование этому месту. С удовольствием буду ходить сюда и расскажу всем знакомым!,5,Guinnes Pub,4.8,908
Артемий Николаев,15 апреля 2025,"Посетил паб на выходных с семьей, все остались довольны. Обслуживание быстрое, а виски, который мы пробовали, просто великолепен!",5,Guinnes Pub,4.8,908
Наргиза Думанова,15 апреля 2025,"Я был в восторге от их ирландского кофе. Так вкусно, что даже не хочется его оставлять. Обслуживание отличное, персонал дружелюбный!",5,Guinnes Pub,4.8,908
Роман Ловцев,15 апреля 2025,"Отличное место для вечеринки! Пиво крафтовое, коктейли неожиданные, а атмосфера прям как в Ирландии! Очень приятно провести время здесь.",5,Guinnes Pub,4.8,908
Мира Касенова,15 апреля 2025,"Были в этом пабе с друзьями, и нам очень понравилось. Живая музыка придает настроение, а стейки – просто бомба! Буду рекомендовать всем!",5,Guinnes Pub,4.8,908
Илья Гуляев,14 апреля 2025,"Настоящая ирландская атмосфера, как будто попал в Дублин. Очень порадовал выбор пива, Guinness просто непередаваемый. Обязательно вернусь еще раз! 🍻",5,Guinnes Pub,4.8,908
Зарина Бәкен,14 апреля 2025,"Отличный паб, уютно и атмосферно. Брали коктейли - очень понравились. Есть что предложить каждому!",5,Guinnes Pub,4.8,908
Зарина Әлімбек,14 апреля 2025,"Фантастический вечер с отличными друзьями. Мы наслаждались каждым моментом, бармены знают свое дело! Огромное спасибо за атмосферу!",5,Guinnes Pub,4.8,908
Данил Попов,14 апреля 2025,"Супер атмосфера, прекрасная живая музыка и отличное пиво. Очень рекомендую это место для посиделок с друзьями.",5,Guinnes Pub,4.8,908
Гүлназ Амангельдина,13 апреля 2025,"Чудесное место! Атмосфера как в Ирландии, а Guinness Draught лучший, что я пробовала! Огромное спасибо команде за отличный вечер!",5,Guinnes Pub,4.8,908
Иван Попов,13 апреля 2025,"Если хотите получить удовольствие от пива и приятного общения, обязательно загляните сюда. Понравилась живая музыка!",5,Guinnes Pub,4.8,908
Динара Рахметова,13 апреля 2025,"Живя в ритме Алматы, иногда нужен такой уютный уголок, и этот паб - идеальное решение. Замечательные стейки и атмосферная живая музыка!",5,Guinnes Pub,4.8,908
Павел Никитин,13 апреля 2025,"Супер паб, большой выбор напитков и очень хорошая кухня! Живая музыка добавила эмоциональности! Вернёмся ещё }",5,Guinnes Pub,4.8,908
Alfira Gaidar,12 апреля 2025,"Отличная заведение официант приятная обстановка нас обслужывала официант Нургуля приятно, комфортно, все вовремя мы приходят сюда иза приятнои обстановкой.",5,Guinnes Pub,4.8,908
Игорь Орлов,12 апреля 2025,"Не забуду этот вечер, спасибо за всё!",5,Guinnes Pub,4.8,908
Аружан Сибагатова,12 апреля 2025,Такие коктейли не каждый где попробуешь,5,Guinnes Pub,4.8,908
Ильяс Жаксылыков,12 апреля 2025,И снова радует разнообразие напитков,5,Guinnes Pub,4.8,908
Аида Нурмагамбетова,12 апреля 2025,"Непередаваемые ощущения, атмосфера просто вау",5,Guinnes Pub,4.8,908
Раушан Коскеева,11 апреля 2025,"Опыт был незабываемым, классно провели вечер",5,Guinnes Pub,4.8,908
Мейрам Жангелдин,11 апреля 2025,"Ирландский кофе просто бомба, всем советую",5,Guinnes Pub,4.8,908
Гулмира Куанова,11 апреля 2025,Здесь всегда хороший настрой и веселье,5,Guinnes Pub,4.8,908
Константин Рябов,11 апреля 2025,"Приятный интерьер, словно в Ирландии",5,Guinnes Pub,4.8,908
Aidana Tolesh,сегодня,"Насчет блюд ничего не имею, но увидела, что сервис слабый, плохо обслуживали, куда смотрит администратор? в телефоне сидят все🤦🏻‍♀️без разницы что творится в зале😂",1,Rabbat,4.9,2362
nars 🤍,сегодня,"даже 1 звездочкага не стоит, из за того что админка слабая, не адекватная, видно то что она маленькая,куда смотрит управлюящие? осындай темппен узакка бармайтын жер деп айтар едим !",1,Rabbat,4.9,2362
Aysara Pirjanova,сегодня,Кушти оте дамди тамактары багасыда кымбат емес,5,Rabbat,4.9,2362
Kolya Matkarimov,сегодня,Тамактары кушти официанттарыда ак конил аллах разы болсын 10/10 супер,5,Rabbat,4.9,2362
Тайный Покупатель,22 апреля 2025,"Тyпые официанты, видно сразу Админ слабый, еда норм",1,Rabbat,4.9,2362
Apple User,21 апреля 2025,заказали еду это вообще нечто салат и еду положили будто баранам а не людям!!! еда вообще отстойная пахнет и вкус отдает бараниной не вкусно а в шорпу вообще положили не мясо а жилка вкус отстойный никто не ел просто вылили деньги на ветер а посуда бумажная вся порвана от еды не советую !!,1,Rabbat,4.9,2362
Ilyar Taranov,21 апреля 2025,"Кухня реальна вкусная, топ",5,Rabbat,4.9,2362
Aziza Kassym,"21 апреля 2025, отредактирован","“Рабат” кафесіне бір жұлдыз қойдым. Мәзірден 2–3 беттегі тағамдар қолжетімсіз болып шықты, бірақ бұл туралы бізге ешкім алдын ала ескерткен жоқ. Мұндай жағдайда мәзірден алып тастау немесе жабыстырып қою керек еді. Егер бір күні қайта келсем, пікірімді өзгертуім мүмкін. Бірақ әзірге осылай.

⸻

Ставлю кафе “Рабат” одну звезду. Блюда с 2–3 страниц меню оказались недоступны, но об этом никто не предупредил заранее. Такие позиции нужно убирать или хотя бы заклеивать. Возможно, если когда-нибудь вернусь, пересмотрю свою оценку. Но пока так.",1,Rabbat,4.9,2362
Safinur Murataldy,21 апреля 2025,Очень вкусно учу очень вкусно спасибо❤️❤️❤️,5,Rabbat,4.9,2362
Adilkhan Smogulove,"20 апреля 2025, отредактирован",Чай с тары вкусный очень!,5,Rabbat,4.9,2362
Марат Оспанов,20 апреля 2025,"Все очень вкусно!
Спасибо большое",5,Rabbat,4.9,2362
Gulnur GZ__007,19 апреля 2025,👍👍🤍,4,Rabbat,4.9,2362
Erzhan Kassymanov,19 апреля 2025,Обслуживание очень плохое. Ни салфеток ни чашек для чая. 19.04.25,1,Rabbat,4.9,2362
Yana Beisbek,19 апреля 2025,"Скудное меню, ела куриный казан кебаб, он был очень жирным, на вкус отдавало бараниной, не смогла доесть. Интерьер приятный, но девушка официант на втором этаже была раздраженной, ее обслуживание было неприятным",3,Rabbat,4.9,2362
Ляззат К,19 апреля 2025,"Шашлык не вкусный и мясо жесткое, и есть запах какой то, нету пиццы детям",2,Rabbat,4.9,2362
Балғынбек Баттал,"19 апреля 2025, отредактирован","Кухняда жоқ тамақты, менюге қоюдың қажеті жоқ!!!",1,Rabbat,4.9,2362
Дастиш🍴 Кенжебаев,19 апреля 2025,"Часто посещаю это кафе, так как находится возле дома в шаговой доступности. Интерьер, разнообразие блюд в меню и то как вкусно их готовят очень радует. Из минусов слабоватый сервис, незнаю возможно от того что прихожу один официанты не обращают должного внимания, приходится долго ждать когда мне принесут хотябы меню, потом долго ждать пока у меня примут заказ хотя вижу что ребята не сильно то и заняты работой и по двое трое болтают между собой у стейшена. По напиткам всё супер, никаких замечаний нет. Чаи делают вкусные. Из блюд обычно заказываю манты, всегда одинаково вкусно на 7-8/10. И есть холодный салат на твердую десятку, называется «кус-кус». Но в последнее время как не приду, его нет в наличии. Приходится заказывать просто овощной. Овощной салат всегда разный. Иногда овощи свежие и вкусные, иногда совсем безвкусные. Лепешки и самсы суперские.
Надеюсь этот отзыв поможет вам в улучшении вашего сервиса. Большое спасибо за вашу работу!",4,Rabbat,4.9,2362
Timur Aumat,19 апреля 2025,Очень понравилось заведение. Очень вкусный плов. Большие порции. Быстрое обслуживание.,5,Rabbat,4.9,2362
Ерман Оболатов,"18 апреля 2025, отредактирован",Вкусно но мало ассортимента,5,Rabbat,4.9,2362
Жадыра Джалбаева,18 апреля 2025,"Все очень вкусно!
Спасибо большое Официант Асель, очень воспитанная и шустрая девушка!",5,Rabbat,4.9,2362
Нұрсұлу Ақберген,"18 апреля 2025, отредактирован",Дәмді әрі қолжетімді😍🤤,5,Rabbat,4.9,2362
Карлыгаш Букенова,"18 апреля 2025, отредактирован",Тамақтары өте дәмді,5,Rabbat,4.9,2362
Bota Hudratillaeva,17 апреля 2025,"Кушти жер унады, Дамира 😍 молодец поюольше премии😍😍😍",5,Rabbat,4.9,2362
Нурымжан Арыстан,"16 апреля 2025, отредактирован","+10
Молодцы
Не первый рас. Еда топ. Очень вкусно",5,Rabbat,4.9,2362
М Н,16 апреля 2025,Ужасное обслуживание! Официанты чуть ли не сбивают тебя когда проходят рядом вообще никакого уважения к клиентам! В меню вообще нет выбора! Салаты ужасные,1,Rabbat,4.9,2362
Khamza Temirzhan,"15 апреля 2025, отредактирован",Очень классный👍,4,Rabbat,4.9,2362
Юлия Шумихина,15 апреля 2025,"Атмосфера приятная, еда очень вкусная",5,Rabbat,4.9,2362
Малика Кьюр,"14 апреля 2025, отредактирован","Керемет жер,өз туған күнінімді осы жақта өткізгенмін.Бірақ тағыда келетін шығармын отбасымен бірге,қуаныштымын.Әдемі,ыңғайлы,тыныш.Сонымен маған ұнамағаны жай,бізден берген адамдарға апарып береді,бірдей болғаныменде.Может қабылдау басқа немесе бірінші оларды жіберіп бізде бітіру сияқты,",5,Rabbat,4.9,2362
Tanya B,14 апреля 2025,"Ходили с подругой в кафе, пробовали шашлык из баранины. Шашлык вкусный достаточно промаринован, мягкий. Интерьер кафе понравился, мебель, посуда - все на ""5""",5,Rabbat,4.9,2362
Мухит Муртазаев,"14 апреля 2025, отредактирован",👍,5,Rabbat,4.9,2362
Assel Asylkhankyzy,13 апреля 2025,"Очень уютно и красиво 😍😍😍😍😍, шашлык очень вкусный,нифиговый🥰",5,Rabbat,4.9,2362
Ma'rufjon Turobov,13 апреля 2025,Раббат шайхана оте демди екен.,5,Rabbat,4.9,2362
Серик Ташпулатов,"13 апреля 2025, отредактирован",Өте дәмді тағамдары,5,Rabbat,4.9,2362
Елена Матвеева,12 апреля 2025,"Интерьер понравился, форма официантов тоже красивая.
В этом молодцы, игровая очень расстроила, ведь столько семей приходит с детьми и хочется посидеть в приятной атмосфере, а тут детям заняться не чем.
Разве так сложно отслеживать такие моменты, если вы хотите,чтоб к вам возвращались!!!
Попробовали конечно не всё, но выпечка вкусная.
Далее видно будет.
Жаль ,что официантам когда говоришь про игровую, они только плечами пожимают.",3,Rabbat,4.9,2362
Daniyar Bossinov,"12 апреля 2025, отредактирован",.,1,Rabbat,4.9,2362
Gylima Akan,"11 апреля 2025, отредактирован",Очень вкусные манты и тары чай,5,Rabbat,4.9,2362
Рамина Нуранова,11 апреля 2025,"Открылся не так давно, но игровая расстроила как только зашли. Игрушки все поломаны, сдуты. Играть не с чем. Потом дождались шашлык, что так же расстроило! Баранина жёсткая при жёсткая!!
Может другие блюда вкусные, но шашлыки больше заказывать не будем!
Салаты вкусные.
Надо улучшать шашлыки и заменить все игрушки!! Само заведение красивое!",3,Rabbat,4.9,2362
Бяго Рашитов,10 апреля 2025,Ма ша Аллах очень хорошое заведение 🔥,5,Rabbat,4.9,2362
Dinara Badaeva,"9 апреля 2025, отредактирован",Ужасные не вкусные блюда,1,Rabbat,4.9,2362
Гульмира,8 апреля 2025,Очень вкусно) спасибо,5,Rabbat,4.9,2362
Сырым Досмаханбет,"8 апреля 2025, отредактирован",Мен понравилось интерьер,5,Rabbat,4.9,2362
Bekmurat Suyundikov,7 апреля 2025,Өте керемет 🤘,5,Rabbat,4.9,2362
алматинец казахстан,"7 апреля 2025, отредактирован","Заведение испортилось!!! Казан кебаб, куриный казан кебаб, манты, всё не вкусно!!! Совсем не похоже на то, что было раньше!!! Грязные тарелки!!!",1,Rabbat,4.9,2362
Алсу 👱,7 апреля 2025,"Біз шашлык көп алатын едік оразадан алдын бәрі жақсы еді, кеше алды люля кебабынан майда тас суйектер көп шықты, кускавойыда бурынғыдай жумсақ емес",1,Rabbat,4.9,2362
Абылайхан Айтжанов,"6 апреля 2025, отредактирован",Болмайды екен басындағыдай емес порциялары азайған тамақты өтірік істейтін болғанба баға воопще бөлек әңгіме официянтқа айтып кеттім бірақ админді көрмедім,1,Rabbat,4.9,2362
Саламат Катек,"5 апреля 2025, отредактирован","Өте дәмді, әрі таза",5,Rabbat,4.9,2362
Анель Анель,5 апреля 2025,Нам все понравился ❤️,5,Rabbat,4.9,2362
Assel Maratkyzy,5 апреля 2025,очень вкусно,5,Rabbat,4.9,2362
Дикоша 🤍,"4 апреля 2025, отредактирован",Болады,4,Rabbat,4.9,2362
doss desmond,"4 апреля 2025, отредактирован",Интерьері әдемі.,5,Rabbat,4.9,2362
Al,22 апреля 2025,Неплохо.,4,Кульджа Хого,4.3,1434
Айжан Шаяхметова,21 апреля 2025,"Хороший сервис, еда вкусная, атмосферное заведение.",5,Кульджа Хого,4.3,1434
Жаке .,11 апреля 2025,👍👍👍,5,Кульджа Хого,4.3,1434
Сандугаш Сагынбаева,"9 апреля 2025, отредактирован",Все вкусно,5,Кульджа Хого,4.3,1434
Aziz Aka,9 апреля 2025,Постоянно здесь бываю всегда всё нравится обслуживание на высшем уровне всегда свежие продукты,5,Кульджа Хого,4.3,1434
Нурия Кенжебекова,"8 апреля 2025, отредактирован","Прекрасное место, очень вкусно и атмосферно, спасибо поварам и персоналу 😌😌😌",5,Кульджа Хого,4.3,1434
Абзал Ташенов,8 апреля 2025,"Было очень вкусно, порции огромные. Наша жадность взяла свое и мы по итогу не доели) но ожидание было немного долгим и было бы лучше если бы интерьер был в китайском стиле",4,Кульджа Хого,4.3,1434
Miko Ika,6 апреля 2025,"Было очень вкусно, все понравилось и обслуживание (только конечно забыли зелень принести) но ничего) все удобно и красиво",5,Кульджа Хого,4.3,1434
Apple User,6 апреля 2025,"Ребята, мы ваши постоянники! Но вынуждена поставить 1 звезду! У вас засаленное абсолютно все: полы, столы, пульт от плиты! Мне приходится уже салфеткой к нему прикасаться, я брезгую! Пульты часто оторваны от базы. Это отвратительно просто, столько молчала, но уже невыносимо просто! Что за вонь у вас на 1-м этаже всегда❗️❗️❗️мы заходим и просто не дышим до 2 этажа, на 2-м пропадает запах. Ходим раз в неделю, но уже ЖЕЛАНИЕ САНЭПИД контроль вызвать на ваш адрес!полы под столами жуть просто! Были и в 12 дня, когда только открытие кафе- жуть просто какая грязь. Первые хозяева, кто это открывал- у них было все безупречно, что с вами не так???",1,Кульджа Хого,4.3,1434
Marjan Sadykova,"4 апреля 2025, отредактирован",Долго,3,Кульджа Хого,4.3,1434
S L,30 марта 2025,"Zhanibek Adilbekov, спасибо Вам:) Сэкономили нам много времени, добрый человек!",5,Кульджа Хого,4.3,1434
Zhanibek Adilbekov,30 марта 2025,"Закрыто в честь праздника «АйТ», не сообщили в 2Гис о временном закрытии:(
Мы были тут 2 раза, рекомендую.",4,Кульджа Хого,4.3,1434
Vnkaid .,"29 марта 2025, отредактирован","Все чисто, официанты молодцы помогали с выбором👍🏻",4,Кульджа Хого,4.3,1434
Арслан Рамазанов,26 марта 2025,Лyчше хого в Алматы!!! Админ Амина одтелльно спасибо,5,Кульджа Хого,4.3,1434
tooktarov 🔞,"25 марта 2025, отредактирован",Өтте керемет бәрі тамаша тамақтары ұнады жиі келып тұратын жер екен,5,Кульджа Хого,4.3,1434
Admin For video,"24 марта 2025, отредактирован","Очень вкусно, всё понравилось, отдельная благодарность администратор Ясину за гостеприимство и вежливость, респект👍",4,Кульджа Хого,4.3,1434
